[ 16:31:57 139.196.8.187 run  数据抓取] 安徽安庆批发2016-03-12:110 [5928]
[ 16:31:58 139.196.8.187 run  数据抓取] 安徽亳州批发2016-03-12:110 [5928]
[ 16:31:59 139.196.8.187 run  数据抓取] 安徽砀山批发2016-03-12:110 [5928]
[ 16:32:01 139.196.8.187 run  数据抓取] 安徽合肥周谷堆2016-03-12:110 [5928]
[ 16:32:02 139.196.8.187 run  数据抓取] 安徽和县批发2016-03-12:110 [5928]
[ 16:32:03 139.196.8.187 run  数据抓取] 安徽淮北中瑞2016-03-12:110 [5928]
[ 16:32:03 139.196.8.187 run  数据抓取] 安徽六安紫竹林2016-03-12:110 [5928]
[ 16:32:04 139.196.8.187 run  数据抓取] 安徽马鞍山安民2016-03-12:110 [5928]
[ 16:32:05 139.196.8.187 run  数据抓取] 安徽宿州南关2016-03-12:110 [5928]
[ 16:32:06 139.196.8.187 run  数据抓取] 安徽裕安紫竹林2016-03-12:110 [5928]
[ 16:32:07 139.196.8.187 run  数据抓取] 北京八里桥2016-03-12:110 [5928]
[ 16:32:08 139.196.8.187 run  数据抓取] 北京大洋路2016-03-12:110 [5928]
[ 16:32:09 139.196.8.187 run  数据抓取] 北京锦绣大地2016-03-12:110 [5928]
[ 16:32:09 139.196.8.187 run  数据抓取] 北京日上2016-03-12:110 [5928]
[ 16:32:10 139.196.8.187 run  数据抓取] 北京水屯2016-03-12:110 [5928]
[ 16:32:11 139.196.8.187 run  数据抓取] 北京顺鑫石门2016-03-12:110 [5928]
[ 16:32:15 139.196.8.187 run  数据抓取] 北京新发地2016-03-12:110 [5928]
[ 16:32:16 139.196.8.187 run  数据抓取] 北京玉泉路2016-03-12:110 [5928]
[ 16:32:17 139.196.8.187 run  数据抓取] 北京岳各庄2016-03-12:110 [5928]
[ 16:32:18 139.196.8.187 run  数据抓取] 福建福鼎2016-03-12:110 [5928]
[ 16:32:19 139.196.8.187 run  数据抓取] 福建福州2016-03-12:110 [5928]
[ 16:32:20 139.196.8.187 run  数据抓取] 福建福州海峡2016-03-12:110 [5928]
[ 16:32:21 139.196.8.187 run  数据抓取] 福建龙岩2016-03-12:110 [5928]
[ 16:32:21 139.196.8.187 run  数据抓取] 福建南平2016-03-12:110 [5928]
[ 16:32:23 139.196.8.187 run  数据抓取] 福建宁德2016-03-12:110 [5928]
[ 16:32:23 139.196.8.187 run  数据抓取] 福建莆田2016-03-12:110 [5928]
[ 16:32:24 139.196.8.187 run  数据抓取] 福建泉州2016-03-12:110 [5928]
[ 16:32:25 139.196.8.187 run  数据抓取] 福建三明2016-03-12:110 [5928]
[ 16:32:26 139.196.8.187 run  数据抓取] 福建厦门2016-03-12:110 [5928]
[ 16:32:26 139.196.8.187 run  数据抓取] 福建厦门同安闽南2016-03-12:110 [5928]
[ 16:32:27 139.196.8.187 run  数据抓取] 福建漳州2016-03-12:110 [5928]
[ 16:32:28 139.196.8.187 run  数据抓取] 甘肃靖远2016-03-12:110 [5928]
[ 16:32:29 139.196.8.187 run  数据抓取] 甘肃酒泉春光2016-03-12:110 [5928]
[ 16:32:30 139.196.8.187 run  数据抓取] 甘肃兰州大青山2016-03-12:110 [5928]
[ 16:32:31 139.196.8.187 run  数据抓取] 甘肃陇西清吉2016-03-12:110 [5928]
[ 16:32:32 139.196.8.187 run  数据抓取] 甘肃天水瀛池2016-03-12:110 [5928]
[ 16:32:33 139.196.8.187 run  数据抓取] 甘肃武山2016-03-12:110 [5928]
[ 16:32:33 139.196.8.187 run  数据抓取] 广东东莞大京九2016-03-12:110 [5928]
[ 16:32:34 139.196.8.187 run  数据抓取] 广东广州江南2016-03-12:110 [5928]
[ 16:32:35 139.196.8.187 run  数据抓取] 广东惠州农产品物流中心2016-03-12:110 [5928]
[ 16:32:36 139.196.8.187 run  数据抓取] 广东江门水产2016-03-12:110 [5928]
[ 16:32:37 139.196.8.187 run  数据抓取] 广东江门水果2016-03-12:110 [5928]
[ 16:32:38 139.196.8.187 run  数据抓取] 广东汕头2016-03-12:110 [5928]
[ 16:32:38 139.196.8.187 run  数据抓取] 广东深圳南山批发2016-03-12:110 [5928]
[ 16:32:39 139.196.8.187 run  数据抓取] 广西南宁五里亭2016-03-12:110 [5928]
[ 16:32:40 139.196.8.187 run  数据抓取] 广西田阳2016-03-12:110 [5928]
[ 16:32:41 139.196.8.187 run  数据抓取] 贵州玉屏2016-03-12:110 [5928]
[ 16:32:42 139.196.8.187 run  数据抓取] 贵州遵义虾子辣椒2016-03-12:110 [5928]
[ 16:32:43 139.196.8.187 run  数据抓取] 河北保定批发2016-03-12:110 [5928]
[ 16:32:43 139.196.8.187 run  数据抓取] 河北沧州红枣2016-03-12:110 [5928]
[ 16:32:44 139.196.8.187 run  数据抓取] 河北馆陶金凤2016-03-12:110 [5928]
[ 16:32:45 139.196.8.187 run  数据抓取] 河北怀来京西2016-03-12:110 [5928]
[ 16:32:46 139.196.8.187 run  数据抓取] 河北乐亭冀东2016-03-12:110 [5928]
[ 16:32:47 139.196.8.187 run  数据抓取] 河北秦皇岛昌黎批发2016-03-12:110 [5928]
[ 16:32:47 139.196.8.187 run  数据抓取] 河北秦皇岛海阳2016-03-12:110 [5928]
[ 16:32:48 139.196.8.187 run  数据抓取] 河北饶阳2016-03-12:110 [5928]
[ 16:32:49 139.196.8.187 run  数据抓取] 河北三河2016-03-12:110 [5928]
[ 16:32:49 139.196.8.187 run  数据抓取] 河北石家庄桥西批发2016-03-12:110 [5928]
[ 16:32:50 139.196.8.187 run  数据抓取] 河北唐山荷花坑2016-03-12:110 [5928]
[ 16:32:51 139.196.8.187 run  数据抓取] 河北威县瓜菜2016-03-12:110 [5928]
[ 16:32:52 139.196.8.187 run  数据抓取] 河北魏县天仙2016-03-12:110 [5928]
[ 16:32:53 139.196.8.187 run  数据抓取] 河南安阳批发2016-03-12:110 [5928]
[ 16:32:54 139.196.8.187 run  数据抓取] 河南南阳果品2016-03-12:110 [5928]
[ 16:32:54 139.196.8.187 run  数据抓取] 河南濮阳批发2016-03-12:110 [5928]
[ 16:32:55 139.196.8.187 run  数据抓取] 河南三门峡原店2016-03-12:110 [5928]
[ 16:32:56 139.196.8.187 run  数据抓取] 河南商丘批发2016-03-12:110 [5928]
[ 16:32:57 139.196.8.187 run  数据抓取] 河南信阳豫信花生2016-03-12:110 [5928]
[ 16:32:58 139.196.8.187 run  数据抓取] 河南郑州毛庄2016-03-12:110 [5928]
[ 16:32:59 139.196.8.187 run  数据抓取] 黑龙江北安北方商场2016-03-12:110 [5928]
[ 16:32:59 139.196.8.187 run  数据抓取] 黑龙江大庆九区2016-03-12:110 [5928]
[ 16:33:00 139.196.8.187 run  数据抓取] 黑龙江抚远同鑫2016-03-12:110 [5928]
[ 16:33:01 139.196.8.187 run  数据抓取] 黑龙江甘南农贸2016-03-12:110 [5928]
[ 16:33:02 139.196.8.187 run  数据抓取] 黑龙江哈尔滨哈达2016-03-12:110 [5928]
[ 16:33:03 139.196.8.187 run  数据抓取] 黑龙江鹤岗工农批发2016-03-12:110 [5928]
[ 16:33:04 139.196.8.187 run  数据抓取] 黑龙江鹤岗万圃源2016-03-12:110 [5928]
[ 16:33:05 139.196.8.187 run  数据抓取] 黑龙江呼玛综合2016-03-12:110 [5928]
[ 16:33:06 139.196.8.187 run  数据抓取] 黑龙江虎林农贸2016-03-12:110 [5928]
[ 16:33:06 139.196.8.187 run  数据抓取] 黑龙江鸡东世纪村2016-03-12:110 [5928]
[ 16:33:07 139.196.8.187 run  数据抓取] 黑龙江鸡西南山2016-03-12:110 [5928]
[ 16:33:08 139.196.8.187 run  数据抓取] 黑龙江佳木斯沿江2016-03-12:110 [5928]
[ 16:33:09 139.196.8.187 run  数据抓取] 黑龙江萝北中央红大兴超市2016-03-12:110 [5928]
[ 16:33:09 139.196.8.187 run  数据抓取] 黑龙江漠河北锤2016-03-12:110 [5928]
[ 16:33:10 139.196.8.187 run  数据抓取] 黑龙江七星街2016-03-12:110 [5928]
[ 16:33:12 139.196.8.187 run  数据抓取] 黑龙江绥化华辰2016-03-12:110 [5928]
[ 16:33:12 139.196.8.187 run  数据抓取] 黑龙江泰来综合2016-03-12:110 [5928]
[ 16:33:13 139.196.8.187 run  数据抓取] 黑龙江望奎华辰2016-03-12:110 [5928]
[ 16:33:14 139.196.8.187 run  数据抓取] 黑龙江逊克综合大市场2016-03-12:110 [5928]
[ 16:33:14 139.196.8.187 run  数据抓取] 黑龙江肇州农贸2016-03-12:110 [5928]
[ 16:33:15 139.196.8.187 run  数据抓取] 湖北鄂州蟠龙2016-03-12:110 [5928]
[ 16:33:16 139.196.8.187 run  数据抓取] 湖北洪湖2016-03-12:110 [5928]
[ 16:33:17 139.196.8.187 run  数据抓取] 湖北黄石农产品2016-03-12:110 [5928]
[ 16:33:18 139.196.8.187 run  数据抓取] 湖北十堰堰中2016-03-12:110 [5928]
[ 16:33:19 139.196.8.187 run  数据抓取] 湖北武汉白沙洲2016-03-12:110 [5928]
[ 16:33:20 139.196.8.187 run  数据抓取] 湖北武汉皇经堂2016-03-12:110 [5928]
[ 16:33:20 139.196.8.187 run  数据抓取] 湖北浠水2016-03-12:110 [5928]
[ 16:33:21 139.196.8.187 run  数据抓取] 湖北襄阳批发2016-03-12:110 [5928]
[ 16:33:22 139.196.8.187 run  数据抓取] 湖北孝感南大2016-03-12:110 [5928]
