[ 03:41:16 14.152.69.214 run  数据抓取] 安庆2016-03-23:110 [3440]
[ 03:41:17 14.152.69.214 run  数据抓取] 亳州2016-03-23:110 [3440]
[ 03:41:18 14.152.69.214 run  数据抓取] 砀山2016-03-23:110 [3440]
[ 03:41:18 14.152.69.214 run  数据抓取] 合肥周谷堆2016-03-23:110 [3440]
[ 03:41:19 14.152.69.214 run  数据抓取] 和县2016-03-23:110 [3440]
[ 03:41:20 14.152.69.214 run  数据抓取] 淮北2016-03-23:110 [3440]
[ 03:41:21 14.152.69.214 run  数据抓取] 六安紫竹林2016-03-23:110 [3440]
[ 03:41:22 14.152.69.214 run  数据抓取] 马鞍山安民2016-03-23:110 [3440]
[ 03:41:22 14.152.69.214 run  数据抓取] 宿州南关2016-03-23:110 [3440]
[ 03:41:23 14.152.69.214 run  数据抓取] 裕安紫竹林2016-03-23:110 [3440]
[ 03:41:24 14.152.69.214 run  数据抓取] 北京八里桥2016-03-23:110 [3440]
[ 03:41:24 14.152.69.214 run  数据抓取] 北京大洋路2016-03-23:110 [3440]
[ 03:41:25 14.152.69.214 run  数据抓取] 北京锦绣大地2016-03-23:110 [3440]
[ 03:41:26 14.152.69.214 run  数据抓取] 北京日上2016-03-23:110 [3440]
[ 03:41:27 14.152.69.214 run  数据抓取] 北京水屯2016-03-23:110 [3440]
[ 03:41:27 14.152.69.214 run  数据抓取] 北京顺鑫石门2016-03-23:110 [3440]
[ 03:41:31 14.152.69.214 run  数据抓取] 北京新发地2016-03-23:110 [3440]
[ 03:41:32 14.152.69.214 run  数据抓取] 北京玉泉路2016-03-23:110 [3440]
[ 03:41:33 14.152.69.214 run  数据抓取] 北京岳各庄2016-03-23:110 [3440]
[ 03:41:33 14.152.69.214 run  数据抓取] 福鼎2016-03-23:110 [3440]
[ 03:41:34 14.152.69.214 run  数据抓取] 福州2016-03-23:110 [3440]
[ 03:41:35 14.152.69.214 run  数据抓取] 福州海峡2016-03-23:110 [3440]
[ 03:41:36 14.152.69.214 run  数据抓取] 龙岩2016-03-23:110 [3440]
[ 03:41:36 14.152.69.214 run  数据抓取] 南平2016-03-23:110 [3440]
[ 03:41:37 14.152.69.214 run  数据抓取] 宁德2016-03-23:110 [3440]
[ 03:41:38 14.152.69.214 run  数据抓取] 莆田2016-03-23:110 [3440]
[ 03:41:39 14.152.69.214 run  数据抓取] 泉州2016-03-23:110 [3440]
[ 03:41:40 14.152.69.214 run  数据抓取] 三明2016-03-23:110 [3440]
[ 03:41:40 14.152.69.214 run  数据抓取] 厦门2016-03-23:110 [3440]
[ 03:41:41 14.152.69.214 run  数据抓取] 同安闽南2016-03-23:110 [3440]
[ 03:41:42 14.152.69.214 run  数据抓取] 漳州2016-03-23:110 [3440]
[ 03:41:43 14.152.69.214 run  数据抓取] 靖远2016-03-23:110 [3440]
[ 03:41:52 14.152.69.214 run  数据抓取] 酒泉春光2016-03-23:110 [3440]
[ 03:41:53 14.152.69.214 run  数据抓取] 兰州大青山2016-03-23:110 [3440]
[ 03:41:54 14.152.69.214 run  数据抓取] 陇西清吉2016-03-23:110 [3440]
[ 03:41:56 14.152.69.214 run  数据抓取] 天水瀛池2016-03-23:110 [3440]
[ 03:41:56 14.152.69.214 run  数据抓取] 武山2016-03-23:110 [3440]
[ 03:41:57 14.152.69.214 run  数据抓取] 东莞大京九2016-03-23:110 [3440]
[ 03:41:58 14.152.69.214 run  数据抓取] 广州江南2016-03-23:110 [3440]
[ 03:41:59 14.152.69.214 run  数据抓取] 惠州农产品物流中心2016-03-23:110 [3440]
[ 03:42:02 14.152.69.214 run  数据抓取] 江门水产2016-03-23:110 [3440]
[ 03:42:03 14.152.69.214 run  数据抓取] 江门水果2016-03-23:110 [3440]
[ 03:42:04 14.152.69.214 run  数据抓取] 汕头2016-03-23:110 [3440]
[ 03:42:04 14.152.69.214 run  数据抓取] 深圳南山批发2016-03-23:110 [3440]
[ 03:42:05 14.152.69.214 run  数据抓取] 南宁五里亭2016-03-23:110 [3440]
[ 03:42:06 14.152.69.214 run  数据抓取] 田阳2016-03-23:110 [3440]
[ 03:42:07 14.152.69.214 run  数据抓取] 玉屏2016-03-23:110 [3440]
[ 03:42:07 14.152.69.214 run  数据抓取] 遵义虾子辣椒2016-03-23:110 [3440]
[ 03:42:08 14.152.69.214 run  数据抓取] 保定批发2016-03-23:110 [3440]
[ 03:42:09 14.152.69.214 run  数据抓取] 沧州红枣2016-03-23:110 [3440]
[ 03:42:09 14.152.69.214 run  数据抓取] 馆陶金凤2016-03-23:110 [3440]
[ 03:42:10 14.152.69.214 run  数据抓取] 怀来京西2016-03-23:110 [3440]
[ 03:42:11 14.152.69.214 run  数据抓取] 乐亭冀东2016-03-23:110 [3440]
[ 03:42:12 14.152.69.214 run  数据抓取] 秦皇岛昌黎批发2016-03-23:110 [3440]
[ 03:42:13 14.152.69.214 run  数据抓取] 秦皇岛海阳2016-03-23:110 [3440]
[ 03:42:13 14.152.69.214 run  数据抓取] 饶阳2016-03-23:110 [3440]
[ 03:42:14 14.152.69.214 run  数据抓取] 三河2016-03-23:110 [3440]
[ 03:42:15 14.152.69.214 run  数据抓取] 石家庄桥西批发2016-03-23:110 [3440]
[ 03:42:16 14.152.69.214 run  数据抓取] 唐山荷花坑2016-03-23:110 [3440]
[ 03:42:17 14.152.69.214 run  数据抓取] 威县瓜菜2016-03-23:110 [3440]
[ 03:42:17 14.152.69.214 run  数据抓取] 魏县天仙2016-03-23:110 [3440]
[ 03:42:18 14.152.69.214 run  数据抓取] 安阳批发2016-03-23:110 [3440]
[ 03:42:19 14.152.69.214 run  数据抓取] 南阳果品2016-03-23:110 [3440]
[ 03:42:23 14.152.69.214 run  数据抓取] 濮阳批发2016-03-23:110 [3440]
[ 03:42:23 14.152.69.214 run  数据抓取] 三门峡原店2016-03-23:110 [3440]
[ 03:42:25 14.152.69.214 run  数据抓取] 商丘批发2016-03-23:110 [3440]
[ 03:42:26 14.152.69.214 run  数据抓取] 信阳豫信花生2016-03-23:110 [3440]
[ 03:42:27 14.152.69.214 run  数据抓取] 郑州毛庄2016-03-23:110 [3440]
[ 03:42:28 14.152.69.214 run  数据抓取] 北安北方商场2016-03-23:110 [3440]
[ 03:42:28 14.152.69.214 run  数据抓取] 大庆九区2016-03-23:110 [3440]
[ 03:42:29 14.152.69.214 run  数据抓取] 抚远同鑫2016-03-23:110 [3440]
[ 03:42:30 14.152.69.214 run  数据抓取] 甘南农贸2016-03-23:110 [3440]
[ 03:42:30 14.152.69.214 run  数据抓取] 哈尔滨哈达2016-03-23:110 [3440]
[ 03:42:31 14.152.69.214 run  数据抓取] 鹤岗工农批发2016-03-23:110 [3440]
[ 03:42:32 14.152.69.214 run  数据抓取] 鹤岗万圃源2016-03-23:110 [3440]
[ 03:42:33 14.152.69.214 run  数据抓取] 呼玛综合2016-03-23:110 [3440]
[ 03:42:33 14.152.69.214 run  数据抓取] 虎林农贸2016-03-23:110 [3440]
[ 03:42:34 14.152.69.214 run  数据抓取] 鸡东世纪村2016-03-23:110 [3440]
[ 03:42:35 14.152.69.214 run  数据抓取] 鸡西南山2016-03-23:110 [3440]
[ 03:42:36 14.152.69.214 run  数据抓取] 佳木斯沿江2016-03-23:110 [3440]
[ 03:42:36 14.152.69.214 run  数据抓取] 萝北中央红大兴超市2016-03-23:110 [3440]
[ 03:42:37 14.152.69.214 run  数据抓取] 漠河北锤2016-03-23:110 [3440]
[ 03:42:38 14.152.69.214 run  数据抓取] 七星街2016-03-23:110 [3440]
[ 03:42:39 14.152.69.214 run  数据抓取] 绥化华辰2016-03-23:110 [3440]
[ 03:42:39 14.152.69.214 run  数据抓取] 泰来综合2016-03-23:110 [3440]
[ 03:42:40 14.152.69.214 run  数据抓取] 望奎华辰2016-03-23:110 [3440]
[ 03:42:41 14.152.69.214 run  数据抓取] 逊克综合大市场2016-03-23:110 [3440]
[ 03:42:42 14.152.69.214 run  数据抓取] 肇州农贸2016-03-23:110 [3440]
[ 03:42:42 14.152.69.214 run  数据抓取] 鄂州蟠龙2016-03-23:110 [3440]
[ 03:42:43 14.152.69.214 run  数据抓取] 洪湖2016-03-23:110 [3440]
[ 03:42:44 14.152.69.214 run  数据抓取] 黄石农产品2016-03-23:110 [3440]
[ 03:42:45 14.152.69.214 run  数据抓取] 十堰堰中2016-03-23:110 [3440]
[ 03:42:46 14.152.69.214 run  数据抓取] 武汉白沙洲2016-03-23:110 [3440]
[ 03:42:46 14.152.69.214 run  数据抓取] 武汉皇经堂2016-03-23:110 [3440]
[ 03:42:47 14.152.69.214 run  数据抓取] 浠水2016-03-23:110 [3440]
[ 03:42:48 14.152.69.214 run  数据抓取] 襄阳批发2016-03-23:110 [3440]
[ 03:42:49 14.152.69.214 run  数据抓取] 孝感南大2016-03-23:110 [3440]
[ 03:42:49 14.152.69.214 run  数据抓取] 宜昌金桥2016-03-23:110 [3440]
[ 03:42:50 14.152.69.214 run  数据抓取] 长沙马王堆2016-03-23:110 [3440]
[ 03:42:51 14.152.69.214 run  数据抓取] 常德甘露寺2016-03-23:110 [3440]
[ 03:42:52 14.152.69.214 run  数据抓取] 衡阳西园2016-03-23:110 [3440]
[ 03:42:52 14.152.69.214 run  数据抓取] 红星2016-03-23:110 [3440]
[ 03:42:53 14.152.69.214 run  数据抓取] 吉首2016-03-23:110 [3440]
