[ 18:42:12 114.107.15.92 run  数据抓取] 最新数据2016-03-28，今天没有更新 [3120]
[ 19:03:12 106.39.189.144 run  数据抓取] access 0recorde [3120]
[ 19:05:53 114.107.15.92 run  数据抓取] 安庆2016-03-28:114 [3120]
[ 19:05:54 114.107.15.92 run  数据抓取] 亳州2016-03-28:114 [3120]
[ 19:05:54 114.107.15.92 run  数据抓取] 砀山2016-03-28:114 [3120]
[ 19:05:55 114.107.15.92 run  数据抓取] 合肥周谷堆2016-03-28:114 [3120]
[ 19:05:59 114.107.15.92 run  数据抓取] 和县2016-03-28:114 [3120]
[ 19:05:59 114.107.15.92 run  数据抓取] 淮北2016-03-28:114 [3120]
[ 19:06:00 114.107.15.92 run  数据抓取] 六安紫竹林2016-03-28:114 [3120]
[ 19:06:01 114.107.15.92 run  数据抓取] 马鞍山安民2016-03-28:114 [3120]
[ 19:06:01 114.107.15.92 run  数据抓取] 宿州南关2016-03-28:114 [3120]
[ 19:06:02 114.107.15.92 run  数据抓取] 裕安紫竹林2016-03-28:114 [3120]
[ 19:06:03 114.107.15.92 run  数据抓取] 北京八里桥2016-03-28:114 [3120]
[ 19:06:04 114.107.15.92 run  数据抓取] 北京大洋路2016-03-28:114 [3120]
[ 19:06:04 114.107.15.92 run  数据抓取] 北京锦绣大地2016-03-28:114 [3120]
[ 19:06:07 114.107.15.92 run  数据抓取] 北京日上2016-03-28:114 [3120]
[ 19:06:08 114.107.15.92 run  数据抓取] 北京水屯2016-03-28:114 [3120]
[ 19:06:10 114.107.15.92 run  数据抓取] 北京顺鑫石门2016-03-28:114 [3120]
[ 19:06:11 114.107.15.92 run  数据抓取] 北京新发地2016-03-28:114 [3120]
[ 19:06:12 114.107.15.92 run  数据抓取] 北京玉泉路2016-03-28:114 [3120]
[ 19:06:13 114.107.15.92 run  数据抓取] 北京岳各庄2016-03-28:114 [3120]
[ 19:06:17 114.107.15.92 run  数据抓取] 福鼎2016-03-28:114 [3120]
[ 19:06:17 114.107.15.92 run  数据抓取] 福州2016-03-28:114 [3120]
[ 19:06:18 114.107.15.92 run  数据抓取] 福州海峡2016-03-28:114 [3120]
[ 19:06:19 114.107.15.92 run  数据抓取] 龙岩2016-03-28:114 [3120]
[ 19:06:20 114.107.15.92 run  数据抓取] 南平2016-03-28:114 [3120]
[ 19:06:21 114.107.15.92 run  数据抓取] 宁德2016-03-28:114 [3120]
[ 19:06:22 114.107.15.92 run  数据抓取] 莆田2016-03-28:114 [3120]
[ 19:06:23 114.107.15.92 run  数据抓取] 泉州2016-03-28:114 [3120]
[ 19:06:24 114.107.15.92 run  数据抓取] 三明2016-03-28:114 [3120]
[ 19:06:25 114.107.15.92 run  数据抓取] 厦门2016-03-28:114 [3120]
[ 19:06:26 114.107.15.92 run  数据抓取] 同安闽南2016-03-28:114 [3120]
[ 19:06:27 114.107.15.92 run  数据抓取] 漳州2016-03-28:114 [3120]
[ 19:06:28 114.107.15.92 run  数据抓取] 靖远2016-03-28:114 [3120]
[ 19:06:29 114.107.15.92 run  数据抓取] 酒泉春光2016-03-28:114 [3120]
[ 19:06:30 114.107.15.92 run  数据抓取] 兰州大青山2016-03-28:114 [3120]
[ 19:06:31 114.107.15.92 run  数据抓取] 陇西清吉2016-03-28:114 [3120]
[ 19:06:31 114.107.15.92 run  数据抓取] 天水瀛池2016-03-28:114 [3120]
[ 19:06:32 114.107.15.92 run  数据抓取] 武山2016-03-28:114 [3120]
[ 19:06:33 114.107.15.92 run  数据抓取] 东莞大京九2016-03-28:114 [3120]
[ 19:06:34 114.107.15.92 run  数据抓取] 广州江南2016-03-28:114 [3120]
[ 19:06:35 114.107.15.92 run  数据抓取] 惠州农产品物流中心2016-03-28:114 [3120]
[ 19:06:36 114.107.15.92 run  数据抓取] 江门水产2016-03-28:114 [3120]
[ 19:06:37 114.107.15.92 run  数据抓取] 江门水果2016-03-28:114 [3120]
[ 19:06:38 114.107.15.92 run  数据抓取] 汕头2016-03-28:114 [3120]
[ 19:06:39 114.107.15.92 run  数据抓取] 深圳南山批发2016-03-28:114 [3120]
[ 19:06:40 114.107.15.92 run  数据抓取] 南宁五里亭2016-03-28:114 [3120]
[ 19:06:41 114.107.15.92 run  数据抓取] 田阳2016-03-28:114 [3120]
[ 19:06:42 114.107.15.92 run  数据抓取] 玉屏2016-03-28:114 [3120]
[ 19:06:46 114.107.15.92 run  数据抓取] 遵义虾子辣椒2016-03-28:114 [3120]
[ 19:06:47 114.107.15.92 run  数据抓取] 保定批发2016-03-28:114 [3120]
[ 19:06:48 114.107.15.92 run  数据抓取] 沧州红枣2016-03-28:114 [3120]
[ 19:06:49 114.107.15.92 run  数据抓取] 馆陶金凤2016-03-28:114 [3120]
[ 19:06:50 114.107.15.92 run  数据抓取] 怀来京西2016-03-28:114 [3120]
[ 19:06:51 114.107.15.92 run  数据抓取] 乐亭冀东2016-03-28:114 [3120]
[ 19:06:52 114.107.15.92 run  数据抓取] 秦皇岛昌黎批发2016-03-28:114 [3120]
[ 19:06:53 114.107.15.92 run  数据抓取] 秦皇岛海阳2016-03-28:114 [3120]
[ 19:06:54 114.107.15.92 run  数据抓取] 饶阳2016-03-28:114 [3120]
[ 19:06:55 114.107.15.92 run  数据抓取] 三河2016-03-28:114 [3120]
[ 19:06:56 114.107.15.92 run  数据抓取] 石家庄桥西批发2016-03-28:114 [3120]
[ 19:06:56 114.107.15.92 run  数据抓取] 唐山荷花坑2016-03-28:114 [3120]
[ 19:06:58 114.107.15.92 run  数据抓取] 威县瓜菜2016-03-28:114 [3120]
[ 19:06:58 114.107.15.92 run  数据抓取] 魏县天仙2016-03-28:114 [3120]
[ 19:06:59 114.107.15.92 run  数据抓取] 安阳批发2016-03-28:114 [3120]
[ 19:07:00 114.107.15.92 run  数据抓取] 南阳果品2016-03-28:114 [3120]
[ 19:07:01 114.107.15.92 run  数据抓取] 濮阳批发2016-03-28:114 [3120]
